,gender,age,id,became_member_on,income
1,F,55,1,20170715,112000.0
3,F,75,3,20170509,100000.0
5,M,68,5,20180426,70000.0
8,M,65,8,20180209,53000.0
12,M,58,12,20171111,51000.0
13,F,61,13,20170911,57000.0
14,M,26,14,20140213,46000.0
15,F,62,15,20160211,71000.0
16,M,49,16,20141113,52000.0
18,M,57,18,20171231,42000.0
19,F,61,19,20180501,40000.0
20,F,40,20,20160504,71000.0
21,M,64,21,20170909,100000.0
22,F,78,22,20170616,71000.0
24,M,42,24,20130811,69000.0
25,F,56,25,20180428,88000.0
27,F,33,27,20170926,52000.0
28,F,46,28,20170911,59000.0
29,M,59,29,20150121,41000.0
30,M,67,30,20140823,96000.0
31,O,53,31,20170916,52000.0
32,M,22,32,20170925,70000.0
33,F,96,33,20171117,89000.0
34,M,40,34,20160709,33000.0
35,F,69,35,20160814,57000.0
37,M,56,37,20140511,68000.0
38,F,26,38,20170812,63000.0
40,M,75,40,20151112,40000.0
41,F,20,41,20160711,30000.0
42,M,45,42,20180707,33000.0
43,M,61,43,20171121,98000.0
46,F,69,46,20130918,37000.0
47,F,54,47,20170207,80000.0
48,M,39,48,20140527,51000.0
49,F,41,49,20150921,41000.0
50,F,79,50,20150415,48000.0
51,F,66,51,20180408,38000.0
52,F,56,52,20170626,52000.0
53,F,39,53,20140723,56000.0
55,M,42,55,20160117,96000.0
58,F,78,58,20161009,93000.0
59,M,45,59,20171006,48000.0
60,M,29,60,20160430,50000.0
61,M,44,61,20170924,35000.0
62,M,63,62,20180713,56000.0
63,M,36,63,20171228,56000.0
64,F,76,64,20180314,47000.0
65,M,68,65,20170823,87000.0
66,M,75,66,20151129,52000.0
67,M,67,67,20170226,76000.0
68,M,77,68,20160730,51000.0
69,M,76,69,20140831,64000.0
70,M,57,70,20180207,98000.0
71,F,53,71,20160706,72000.0
72,F,53,72,20161231,117000.0
73,F,53,73,20171026,55000.0
74,F,61,74,20171110,112000.0
75,F,67,75,20160910,77000.0
76,F,58,76,20180125,85000.0
77,F,46,77,20180629,36000.0
78,M,30,78,20171202,41000.0
79,M,59,79,20170820,89000.0
81,M,51,81,20151231,41000.0
82,M,27,82,20180110,35000.0
83,M,40,83,20180227,53000.0
85,F,73,85,20180419,91000.0
86,F,74,86,20151224,107000.0
87,M,42,87,20151121,66000.0
88,M,78,88,20151111,58000.0
89,F,54,89,20161225,53000.0
90,F,70,90,20180613,74000.0
91,F,49,91,20170408,57000.0
92,F,62,92,20180410,57000.0
93,M,64,93,20170305,70000.0
94,F,89,94,20171114,87000.0
95,M,73,95,20180401,51000.0
97,F,50,97,20170506,93000.0
98,F,90,98,20151210,98000.0
99,F,68,99,20160731,84000.0
100,M,60,100,20170206,64000.0
101,M,45,101,20170815,54000.0
