,person,offer_id,time_received,time_viewed,time_transaction,time_completed,amount_with_offer,label_effective_offer
0,3.0,3,0.0,0.25,",5.5",5.5,19.89,1
1,3.0,7,7.0,9.0,9.25,,19.67,1
2,3.0,0,17.0,17.0,",21.25",21.25,21.72,1
3,3.0,8,21.0,24.25,",21.25",21.25,21.72,1
4,5.0,9,0.0,0.75,,,0.0,0
5,5.0,2,14.0,,-1,,0.0,-1
6,5.0,3,17.0,17.5,",21.75",21.75,18.42,1
7,5.0,6,21.0,21.75,",21.75",21.75,18.42,1
8,8.0,8,0.0,0.0,",2.5",2.5,9.54,1
9,8.0,8,21.0,21.0,",25.0",25.0,11.26,1
10,8.0,3,7.0,8.0,,,0.0,0
11,8.0,3,17.0,18.25,",20.75",20.75,15.63,1
12,8.0,9,14.0,14.75,",20.75",20.75,15.63,1
13,8.0,6,24.0,24.5,",25.0",25.0,11.26,1
14,12.0,2,0.0,,-1,,0.0,-1
15,12.0,5,7.0,7.0,",9.0",,2.32,0
16,12.0,6,14.0,14.5,",15.75,19.0",19.0,12.43,1
17,13.0,4,0.0,0.75,",8.75",,12.33,0
18,13.0,1,7.0,7.0,",8.75",8.75,12.33,1
19,13.0,7,14.0,14.0,-1,,0.0,-1
20,13.0,0,17.0,18.0,",17.75",17.75,15.95,1
21,13.0,8,24.0,25.5,",26.25",26.25,12.56,1
22,15.0,4,0.0,6.25,,,0.0,0
23,15.0,6,7.0,7.0,",10.75",10.75,24.87,1
24,15.0,6,24.0,24.25,,,0.0,0
25,15.0,5,14.0,14.0,",16.0",16.0,12.57,1
26,15.0,5,17.0,17.75,",17.75",17.75,15.01,1
27,15.0,5,21.0,,",22.25",22.25,22.87,1
28,21.0,0,0.0,4.25,,,0.0,0
29,21.0,0,21.0,21.25,",21.25",21.25,31.05,1
30,21.0,4,7.0,7.25,",7.5",7.5,32.31,1
31,21.0,4,14.0,,",20.0",20.0,30.0,1
32,21.0,2,17.0,19.5,20.0,,30.0,1
33,22.0,2,0.0,0.75,0.75,,13.25,1
34,22.0,2,14.0,14.5,15.0,,22.99,1
35,22.0,7,7.0,8.0,8.5,,25.27,1
36,22.0,7,24.0,25.75,-1,,0.0,-1
37,22.0,6,17.0,17.0,",17.25",17.25,13.32,1
38,22.0,1,21.0,23.5,,,0.0,0
39,13431.0,4,0.0,1.25,",1.25",1.25,339.69,1
40,13431.0,4,24.0,28.75,",24.0,26.0",26.0,29.16,1
41,13431.0,9,14.0,16.0,",16.5",,7.76,0
42,13431.0,7,17.0,,-1,,0.0,-1
43,24.0,6,0.0,0.75,",5.25",5.25,28.29,1
44,24.0,6,17.0,17.0,",19.25",19.25,18.22,1
45,24.0,1,7.0,7.0,",8.75",8.75,12.94,1
46,24.0,2,24.0,25.0,25.25,,15.93,1
47,25.0,4,0.0,1.25,",6.75,8.0",8.0,47.14,1
48,25.0,4,14.0,15.0,",17.25",17.25,28.48,1
49,25.0,9,7.0,7.5,",8.0",8.0,27.23,1
50,25.0,1,17.0,17.0,",17.25",17.25,28.48,1
51,25.0,3,21.0,21.75,,,0.0,0
52,25.0,3,24.0,25.25,,,0.0,0
53,29.0,3,0.0,,",2.5",,0.67,0
54,29.0,3,24.0,29.75,,,0.0,0
55,29.0,6,7.0,12.5,",11.75,12.5",12.5,11.56,1
56,29.0,7,14.0,14.25,16.75,,5.23,1
57,29.0,7,21.0,22.75,22.75,,2.32,1
58,29.0,9,17.0,17.5,",17.0,17.75,18.0",18.0,14.68,1
59,32.0,0,0.0,4.0,,,0.0,0
60,32.0,1,7.0,7.25,",8.25",8.25,17.11,1
61,32.0,1,14.0,14.75,",15.25,17.25",17.25,30.2,1
62,32.0,5,17.0,17.25,",17.25",17.25,20.63,1
63,32.0,2,21.0,22.25,25.0,,28.82,1
64,32.0,4,24.0,24.0,",25.0",25.0,28.82,1
65,33.0,9,0.0,,",5.5",5.5,12.03,1
66,33.0,7,14.0,14.5,-1,,0.0,-1
67,33.0,3,17.0,,",19.5",19.5,19.47,1
68,33.0,8,21.0,22.25,",25.5",25.5,22.05,1
69,33.0,5,24.0,,",25.5",25.5,22.05,1
70,34.0,3,0.0,2.0,",0.5",0.5,5.47,1
71,34.0,3,21.0,,",26.0",,1.62,0
72,34.0,3,24.0,,",26.0",,1.62,0
73,34.0,7,7.0,9.5,7.25,,2.25,1
74,34.0,0,14.0,14.0,",15.5,16.25,18.5,19.0,19.25",,10.219999999999999,0
75,34.0,8,17.0,17.75,",18.5,19.0,19.25",,5.47,0
76,35.0,1,0.0,0.0,",0.25",0.25,19.88,1
77,35.0,2,7.0,7.5,8.0,,8.21,1
78,35.0,3,14.0,14.0,",14.5",14.5,19.92,1
79,35.0,3,21.0,21.25,",21.75",21.75,12.75,1
80,35.0,7,17.0,20.25,-1,,0.0,-1
81,35.0,0,24.0,24.25,",24.5",24.5,18.48,1
82,38.0,5,0.0,1.75,",2.25,3.0,4.25,4.75",4.75,10.68,1
83,38.0,7,14.0,14.5,15.5,,5.33,1
84,38.0,6,17.0,17.5,",18.75,19.75,20.0,20.25",20.25,11.420000000000002,1
85,40.0,8,0.0,2.75,",1.0,2.75",2.75,9.61,1
86,40.0,9,7.0,11.0,",13.0",13.0,115.0,1
87,40.0,9,17.0,,",18.25,18.5,20.75",20.75,13.64,1
88,40.0,5,14.0,14.25,",15.0,16.5",16.5,9.56,1
89,41.0,0,0.0,0.0,",0.0,0.25,0.5,3.5,3.75,4.25,5.5,6.0",,25.490000000000002,0
90,41.0,4,17.0,,",17.5",,3.18,0
91,42.0,3,0.0,1.25,",2.75",2.75,6.01,1
92,42.0,5,14.0,14.75,",15.5,19.75",19.75,12.63,1
93,42.0,1,17.0,18.5,",19.75,20.75",20.75,27.86,1
94,42.0,1,24.0,24.0,",26.75",,5.6,0
95,42.0,2,21.0,21.75,21.75,,7.35,1
96,47.0,3,0.0,,,,0.0,0
97,47.0,7,7.0,12.0,-1,,0.0,-1
98,47.0,1,14.0,14.0,",14.25",14.25,38.82,1
99,47.0,2,17.0,19.5,19.5,,26.75,1
100,47.0,8,21.0,21.75,",21.75",21.75,19.36,1
101,47.0,6,24.0,24.25,",24.25",24.25,23.32,1
102,48.0,7,0.0,0.0,0.25,,2.63,1
103,48.0,8,7.0,9.0,",7.5,9.0",9.0,9.26,1
104,48.0,1,14.0,14.75,",16.25,16.5,17.5",,11.64,0
105,48.0,2,21.0,,23.25,,1.63,1
106,48.0,4,24.0,,,,0.0,0
107,50.0,3,0.0,0.75,",4.0,4.25,5.0,5.5,6.0",,8.34,0
108,50.0,9,14.0,,",15.75,18.75,20.0",,5.14,0
109,50.0,9,24.0,,",24.0,24.75,25.5,26.0",26.0,130.97,1
110,50.0,0,21.0,21.75,",22.25,24.0,24.75,25.5,26.0",26.0,134.51,1
111,51.0,1,0.0,0.25,,,0.0,0
112,51.0,7,14.0,14.0,16.5,,7.93,1
113,51.0,0,17.0,17.0,",17.75",,7.46,0
114,51.0,3,24.0,24.5,",24.75",24.75,17.26,1
115,292.0,6,0.0,0.25,",9.0",9.0,20.16,1
116,292.0,9,7.0,7.25,",9.0",9.0,20.16,1
117,292.0,4,17.0,,",21.5",,11.84,0
118,292.0,1,21.0,21.0,",21.5",21.5,11.84,1
119,299.0,0,0.0,0.0,",0.0",0.0,18.01,1
120,299.0,4,21.0,,",26.5",,17.2,0
