person,offer_id,time_received,time_viewed,time_transaction,time_completed,amount_with_offer,label_effective_offer
3.0,3,0.0,0.25,",5.5",5.5,19.89,1
3.0,7,7.0,9.0,9.25,9.25,19.67,1
3.0,0,17.0,17.0,",21.25",21.25,21.72,1
3.0,8,21.0,24.25,",21.25",21.25,21.72,1
5.0,9,0.0,0.75,,,0.0,0
5.0,2,14.0,,-1,,0.0,0
5.0,3,17.0,17.5,",21.75",21.75,18.42,1
5.0,6,21.0,21.75,",21.75",21.75,18.42,1
8.0,8,0.0,0.0,",2.5",2.5,9.54,1
8.0,8,21.0,21.0,",25.0",25.0,11.26,1
8.0,3,7.0,8.0,,,0.0,0
8.0,3,17.0,18.25,",20.75",20.75,15.63,1
8.0,9,14.0,14.75,",20.75",20.75,15.63,1
8.0,6,24.0,24.5,",25.0",25.0,11.26,1
12.0,2,0.0,,-1,,0.0,0
12.0,5,7.0,7.0,",9.0",,2.32,0
12.0,6,14.0,14.5,",15.75,19.0",19.0,12.43,1
13.0,4,0.0,0.75,",8.75",,12.33,0
13.0,1,7.0,7.0,",8.75",8.75,12.33,1
13.0,7,14.0,14.0,-1,,0.0,0
13.0,0,17.0,18.0,",17.75",17.75,15.95,1
13.0,8,24.0,25.5,",26.25",26.25,12.56,1
15.0,4,0.0,6.25,,,0.0,0
15.0,6,7.0,7.0,",10.75",10.75,24.87,1
15.0,6,24.0,24.25,,,0.0,0
15.0,5,14.0,14.0,",16.0",16.0,12.57,1
15.0,5,17.0,17.75,",17.75",17.75,15.01,1
15.0,5,21.0,,",22.25",22.25,22.87,1
21.0,0,0.0,4.25,,,0.0,0
21.0,0,21.0,21.25,",21.25",21.25,31.05,1
21.0,4,7.0,7.25,",7.5",7.5,32.31,1
21.0,4,14.0,,",20.0",20.0,30.0,1
21.0,2,17.0,19.5,20.0,20.0,30.0,1
22.0,2,0.0,0.75,0.75,0.75,13.25,1
22.0,2,14.0,14.5,15.0,15.0,22.99,1
22.0,7,7.0,8.0,8.5,8.5,25.27,1
22.0,7,24.0,25.75,-1,,0.0,0
22.0,6,17.0,17.0,",17.25",17.25,13.32,1
22.0,1,21.0,23.5,,,0.0,0
13431.0,4,0.0,1.25,",1.25",1.25,339.69,1
13431.0,4,24.0,28.75,",24.0,26.0",26.0,29.16,1
13431.0,9,14.0,16.0,",16.5",,7.76,0
13431.0,7,17.0,,-1,,0.0,0
24.0,6,0.0,0.75,",5.25",5.25,28.29,1
24.0,6,17.0,17.0,",19.25",19.25,18.22,1
24.0,1,7.0,7.0,",8.75",8.75,12.94,1
24.0,2,24.0,25.0,25.25,25.25,15.93,1
25.0,4,0.0,1.25,",6.75,8.0",8.0,47.14,1
25.0,4,14.0,15.0,",17.25",17.25,28.48,1
25.0,9,7.0,7.5,",8.0",8.0,27.23,1
25.0,1,17.0,17.0,",17.25",17.25,28.48,1
25.0,3,21.0,21.75,,,0.0,0
