,gender,age,id,became_member_on,income
1,F,55,0,2017-07-15,112000.0
3,F,75,1,2017-05-09,100000.0
5,M,68,2,2018-04-26,70000.0
8,M,65,3,2018-02-09,53000.0
12,M,58,4,2017-11-11,51000.0
13,F,61,5,2017-09-11,57000.0
14,M,26,6,2014-02-13,46000.0
15,F,62,7,2016-02-11,71000.0
16,M,49,8,2014-11-13,52000.0
18,M,57,9,2017-12-31,42000.0
19,F,61,10,2018-05-01,40000.0
20,F,40,11,2016-05-04,71000.0
21,M,64,12,2017-09-09,100000.0
22,F,78,13,2017-06-16,71000.0
24,M,42,14,2013-08-11,69000.0
25,F,56,15,2018-04-28,88000.0
27,F,33,16,2017-09-26,52000.0
28,F,46,17,2017-09-11,59000.0
29,M,59,18,2015-01-21,41000.0
30,M,67,19,2014-08-23,96000.0
31,O,53,20,2017-09-16,52000.0
32,M,22,21,2017-09-25,70000.0
33,F,96,22,2017-11-17,89000.0
34,M,40,23,2016-07-09,33000.0
35,F,69,24,2016-08-14,57000.0
37,M,56,25,2014-05-11,68000.0
38,F,26,26,2017-08-12,63000.0
40,M,75,27,2015-11-12,40000.0
41,F,20,28,2016-07-11,30000.0
42,M,45,29,2018-07-07,33000.0
43,M,61,30,2017-11-21,98000.0
46,F,69,31,2013-09-18,37000.0
47,F,54,32,2017-02-07,80000.0
48,M,39,33,2014-05-27,51000.0
49,F,41,34,2015-09-21,41000.0
50,F,79,35,2015-04-15,48000.0
51,F,66,36,2018-04-08,38000.0
52,F,56,37,2017-06-26,52000.0
53,F,39,38,2014-07-23,56000.0
55,M,42,39,2016-01-17,96000.0
58,F,78,40,2016-10-09,93000.0
59,M,45,41,2017-10-06,48000.0
60,M,29,42,2016-04-30,50000.0
61,M,44,43,2017-09-24,35000.0
62,M,63,44,2018-07-13,56000.0
63,M,36,45,2017-12-28,56000.0
64,F,76,46,2018-03-14,47000.0
65,M,68,47,2017-08-23,87000.0
66,M,75,48,2015-11-29,52000.0
67,M,67,49,2017-02-26,76000.0
68,M,77,50,2016-07-30,51000.0
69,M,76,51,2014-08-31,64000.0
70,M,57,52,2018-02-07,98000.0
71,F,53,53,2016-07-06,72000.0
72,F,53,54,2016-12-31,117000.0
73,F,53,55,2017-10-26,55000.0
74,F,61,56,2017-11-10,112000.0
75,F,67,57,2016-09-10,77000.0
76,F,58,58,2018-01-25,85000.0
77,F,46,59,2018-06-29,36000.0
78,M,30,60,2017-12-02,41000.0
79,M,59,61,2017-08-20,89000.0
81,M,51,62,2015-12-31,41000.0
82,M,27,63,2018-01-10,35000.0
83,M,40,64,2018-02-27,53000.0
85,F,73,65,2018-04-19,91000.0
86,F,74,66,2015-12-24,107000.0
87,M,42,67,2015-11-21,66000.0
88,M,78,68,2015-11-11,58000.0
89,F,54,69,2016-12-25,53000.0
90,F,70,70,2018-06-13,74000.0
91,F,49,71,2017-04-08,57000.0
92,F,62,72,2018-04-10,57000.0
93,M,64,73,2017-03-05,70000.0
94,F,89,74,2017-11-14,87000.0
95,M,73,75,2018-04-01,51000.0
97,F,50,76,2017-05-06,93000.0
98,F,90,77,2015-12-10,98000.0
99,F,68,78,2016-07-31,84000.0
100,M,60,79,2017-02-06,64000.0
101,M,45,80,2017-08-15,54000.0
102,M,66,81,2016-01-24,49000.0
105,F,19,82,2016-10-15,73000.0
106,F,66,83,2018-02-16,58000.0
107,F,72,84,2016-08-11,72000.0
109,M,76,85,2016-04-07,63000.0
110,M,52,86,2017-05-15,78000.0
111,M,55,87,2017-12-10,31000.0
112,F,39,88,2017-09-19,60000.0
113,F,45,89,2016-01-26,44000.0
114,F,57,90,2017-07-04,114000.0
115,M,74,91,2018-07-12,48000.0
116,M,18,92,2016-07-27,47000.0
117,M,53,93,2017-09-27,96000.0
118,F,59,94,2017-09-10,98000.0
119,M,57,95,2014-11-04,46000.0
120,F,51,96,2017-08-13,56000.0
